"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"74","14","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.15","0.48486","0.385452836099546","0.444","0.667","0.092","0.162","1.3180844783783"
"75","15","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.12","0.757641","0.388403718871342","0.164","0.429","0.091","0.15","4.93625569343567"
"76","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
"
"77","17","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.1","0.793201","0.411722797402945","0","0",NA,"0","3.63263130187988"
"78","18","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.17","0.636618","0.393436828721889","0.213","0.5","0.178","0.262","3.65952038764954"
"79","19","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.1","0.785964","0.38614286684764","0.022","0.571","0.5","0.533","3.16286420822144"
"80","20","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.16","0.3981835","5.00752657717165e+47","0.847","0.846","0.068","0.126","29.4985501766205"
"81","21","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.13","0.6349715","0.395578175778199","0.112","0.455","0.2","0.278","5.77751994132996"
"82","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
"
"83","23","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.12","0.587548","0.399953448126469","0.006","0","0","0","3.73332333564758"
"84","24","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.1","0.774125","0.410233267722901","0.07","0.5","0.133","0.211","3.8391330242157"
"85","25","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.09","0.7210135","0.42402086596001","0","0",NA,"0","2.80324411392212"
"86","26","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.09","0.576435","0.417375208278854","0","0",NA,"0","3.67415189743042"
"87","27","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.11","0.615556","0.394331326027312","0","0",NA,"0","3.2780613899231"
"88","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
","Error in chol.default(Omega) : 
  le mineur dominant d'ordre 19 n'est pas défini positif
"
"89","29","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.16","0.4642305","1.03504250786815e+27","0.86","0.917","0.067","0.125","21.7962186336517"
"90","30","300","20","erdos_renyi","sites","sites_3","PLN","BIC","0.13","0.4967755","0.397439494214385","0.652","0.556","0.041","0.076","2.67144656181335"
"91","1","300","20","community","sites","sites_1","PLN","BIC","0.06","0.74478","0.691755611174615","0.006","0.636","0.875","0.737","3.74481010437012"
"92","2","300","20","community","sites","sites_1","PLN","BIC","0.08","0.6106795","0.791907206601432","0.127","0.941","0.421","0.582","2.45070433616638"
"93","3","300","20","community","sites","sites_1","PLN","BIC","0.17","0.230506","1172407514813726720","0.506","0.625","0.102","0.175","18.2184154987335"
"94","4","300","20","community","sites","sites_1","PLN","BIC","0.05","0.6115625","0.689570580772617","0.044","0.75","0.429","0.545","2.72533988952637"
"95","5","300","20","community","sites","sites_1","PLN","BIC","0.08","0.67305","0.616656566689351","0.028","0.8","0.615","0.696","3.98534655570984"
"96","6","300","20","community","sites","sites_1","PLN","BIC","0.12","0.470048","0.963732285981017","0.16","0.933","0.333","0.491","1.32126069068909"
"97","7","300","20","community","sites","sites_1","PLN","BIC","0.04","0.8099355","0.599054007560988","0","0.667","1","0.8","3.44675850868225"
"98","8","300","20","community","sites","sites_1","PLN","BIC","0.12","0.162375","60071038584780.5","0.346","0.625","0.074","0.132","20.6945357322693"
"99","9","300","20","community","sites","sites_1","PLN","BIC","0.08","0.6143","0.634686458139055","0.044","0.9","0.529","0.667","2.293785572052"
"100","10","300","20","community","sites","sites_1","PLN","BIC","0.08","0.6730275","0.618305264782351","0.143","0.933","0.359","0.519","3.90540719032288"
"101","11","300","20","community","sites","sites_1","PLN","BIC","0.06","0.6993155","0.620842494697008","0.14","0.833","0.286","0.426","3.72662901878357"
"102","12","300","20","community","sites","sites_1","PLN","BIC","0.08","0.552178","0.641209882990874","0.078","1","0.44","0.611","2.50530385971069"
"103","13","300","20","community","sites","sites_1","PLN","BIC","0.04","0.793375","0.596595048754064","0","0.5","1","0.667","4.23965787887573"
"104","14","300","20","community","sites","sites_1","PLN","BIC","0.06","0.4389665","0.771898311010741","0.079","0.692","0.391","0.5","1.93195366859436"
"105","15","300","20","community","sites","sites_1","PLN","BIC","0.07","0.5668095","0.725261100486794","0.102","1","0.419","0.591","2.0720534324646"
"106","16","300","20","community","sites","sites_1","PLN","BIC","0.06","0.6339","0.696461446710279","0.072","1","0.435","0.606","2.47616577148438"
"107","17","300","20","community","sites","sites_1","PLN","BIC","0.08","0.556096","0.701318061492716","0.115","0.812","0.394","0.531","2.62550950050354"
"108","18","300","20","community","sites","sites_1","PLN","BIC","0.15","0.5035875","2.02372793350132e+25","0.721","0.714","0.036","0.069","22.2669689655304"
"109","19","300","20","community","sites","sites_1","PLN","BIC","0.07","0.701433","0.659539776915094","0.017","0.833","0.769","0.8","3.58104634284973"
"110","20","300","20","community","sites","sites_1","PLN","BIC","0.07","0.7560195","0.655739641274938","0.102","1","0.438","0.609","2.23245048522949"
"111","21","300","20","community","sites","sites_1","PLN","BIC","0.12","0.5378435","362.06152304498","0.079","0.692","0.391","0.5","1.81225538253784"
"112","22","300","20","community","sites","sites_1","PLN","BIC","0.08","0.5603375","0.634253513030526","0.181","0.923","0.273","0.421","4.49242973327637"
"113","23","300","20","community","sites","sites_1","PLN","BIC","0.08","0.3996195","0.684888941331743","0.051","0.615","0.471","0.533","3.96553349494934"
"114","24","300","20","community","sites","sites_1","PLN","BIC","0.11","0.63285","0.801946911194944","0.347","1","0.253","0.404","1.45193386077881"
"115","25","300","20","community","sites","sites_1","PLN","BIC","0.09","0.652626","0.992511367798086","0.084","1","0.444","0.615","2.29112577438354"
"116","26","300","20","community","sites","sites_1","PLN","BIC","0.07","0.744688","0.629119813769038","0.022","0.917","0.733","0.815","1.91248154640198"
