"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"82","32","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.378601","282936551012871648","0.716","0.857","0.044","0.083","19.1937303543091"
"83","33","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.15","0.4442","340186893380.768","0.789","0.9","0.06","0.112","14.0062215328217"
"84","34","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.11","0.6755005","0.974072385192887","0.227","0.667","0.128","0.214","1.86855268478394"
"85","35","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.73711","0.556153116132702","0","0",NA,"0","1.88993048667908"
"86","36","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.13","0.53885","0.529782671844107","0.106","0.5","0.208","0.294","1.79453539848328"
"87","37","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.676375","0.544169426102906","0.044","0.5","0.333","0.4","1.20871996879578"
"88","38","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.6553","0.701105455602774","0.005","0.4","0.667","0.5","2.35834383964539"
"89","39","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.14","0.399966","13006454.0563233","0.793","0.909","0.066","0.123","11.0635213851929"
"90","40","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.6681275","0.512957672014286","0","0.333","1","0.5","3.79893922805786"
"91","41","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.6800525","0.549863237062088","0.011","0.583","0.778","0.667","2.16584897041321"
"92","42","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.654675","0.924423359701711","0.016","0.429","0.5","0.462","1.8930082321167"
"93","43","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.769952","0.563548697036167","0.095","0.818","0.346","0.486","1.52292776107788"
"94","44","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.6264","0.512978995297536","0","0.222","1","0.364","1.94153165817261"
