"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"61","1","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.7425625","0.565594785421373","0","0",NA,"0","2.00625872612"
"62","1","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.05","0.80775","0.615701870014676","0","0.25","1","0.4","45.475316286087"
"63","2","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.67775","0.549170039482361","0","0",NA,"0","2.11941599845886"
"64","2","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.7776","0.602399505452372","0.028","0.4","0.444","0.421","44.563768863678"
"65","3","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.13","0.751479","0.540383840335733","0","0",NA,"0","1.74738550186157"
"66","3","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.1","0.6985755","0.604544671120862","0.017","0.412","0.7","0.519","46.3754172325134"
"67","4","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.78355","0.502790360535834","0","0",NA,"0","1.1499457359314"
"68","4","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.75545","0.544004008987941","0.006","0.3","0.75","0.429","30.6220932006836"
"69","5","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.8537725","0.519556707540321","0","0",NA,"0","1.80630445480347"
"70","5","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.832487","0.599435540499859","0.05","0.818","0.5","0.621","45.2006590366364"
"71","6","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.709065","0.523647896720324","0","0",NA,"0","2.13441038131714"
"72","6","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.08","0.7942245","0.567642408965134","0.028","0.583","0.583","0.583","44.806174993515"
"73","7","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.792362","0.546393408912236","0","0",NA,"0","2.06445598602295"
"74","7","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.7999435","0.589985317856245","0","0.091","1","0.167","44.678729057312"
"75","8","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.6822915","0.526776801074776","0","0",NA,"0","1.72824788093567"
"76","8","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.8015845","0.56002006829404","0","0.273","1","0.429","45.7776365280151"
"77","9","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.7201875","0.517524256732103","0","0",NA,"0","2.01793932914734"
"78","9","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.05","0.7184375","0.563194222227034","0","0.25","1","0.4","43.617463350296"
"79","10","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.11","0.7396935","0.505155273427941","0","0.267","1","0.421","1.34177589416504"
