"","simu","n","p","omega_structure","zi_type","zi_config","method","criterion","omega_rmse","AUC","rmse_fit","fallout","recall","precision","f1_score","time"
"51","26","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.7365625","0.649493930334581","0","0.375","1","0.545","1.5336229801178"
"52","26","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.705","0.707913922058901","0.022","0.5","0.5","0.5","23.5301094055176"
"53","27","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.832","0.648463141722309","0.011","1","0.75","0.857","2.89077925682068"
"54","27","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.73775","0.708476741332981","0.038","1","0.462","0.632","25.1099872589111"
"55","28","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.772001","0.616553352751646","0.039","1","0.562","0.72","2.99837493896484"
"56","28","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.05","0.804008","0.668824379832129","0.033","0.889","0.571","0.696","28.4534115791321"
"57","29","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.05","0.831432","0.628618563906894","0.038","1","0.5","0.667","2.76246023178101"
"58","29","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.04","0.776432","0.674667626913668","0.027","1","0.583","0.737","26.8540623188019"
"59","30","300","20","erdos_renyi","sites","sites_1","PLN","BIC","0.04","0.741461","0.605147034346995","0.049","0.667","0.308","0.421","1.51914286613464"
"60","30","300","20","erdos_renyi","sites","sites_1","ZIPLN","BIC","0.03","0.5532085","0.665817222371842","0.027","0.5","0.375","0.429","22.998211145401"
"61","1","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.830376","0.530191269993444","0","0",NA,"0","2.68112230300903"
"62","1","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.787189","0.643908124356051","0.028","0.889","0.615","0.727","28.4061961174011"
"63","2","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.8079925","0.558253414333457","0","0.25","1","0.4","2.86100554466248"
"64","2","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.713017","0.661005430865733","0.051","0.583","0.438","0.5","38.0466570854187"
"65","3","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.11","0.791825","0.515512589723299","0.011","0.417","0.714","0.526","3.08626222610474"
"66","3","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.7493805","0.654289563057829","0.017","0.5","0.667","0.571","35.640200138092"
"67","4","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.07","0.575458","0.494058443890794","0","0",NA,"0","2.89735507965088"
"68","4","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.536807","0.64786637850146","0.016","0.429","0.5","0.462","38.4634504318237"
"69","5","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.11","0.7566885","0.555775405212569","0","0",NA,"0","2.34024858474731"
"70","5","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.693861","0.715400180282067","0","0",NA,"0","36.4266889095306"
"71","6","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.529286","0.536074600468813","0","0.111","1","0.2","3.10683059692383"
"72","6","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.08","0.5821425","0.698132239272381","0.022","0.556","0.556","0.556","37.6746289730072"
"73","7","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.08","0.775915","0.512031566263633","0","0.143","1","0.25","1.59919023513794"
"74","7","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.06","0.900658","0.651656364869891","0","0.143","1","0.25","37.0692338943481"
"75","8","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.12","0.698293","0.545270799684877","0","0.364","1","0.533","3.03452157974243"
"76","8","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.09","0.5526935","0.699940721519527","0","0.273","1","0.429","39.2205286026001"
"77","9","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.637573","0.526582507067105","0","0.286","1","0.444","2.92240452766418"
"78","9","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.621566","0.677866189801245","0","0.286","1","0.444","36.8156530857086"
"79","10","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.09","0.7757","0.545588585095357","0","0.1","1","0.182","2.97738933563232"
"80","10","300","20","erdos_renyi","sites","sites_2","ZIPLN","BIC","0.07","0.7253","0.675621467279986","0.011","0.3","0.6","0.4","39.7848243713379"
"81","11","300","20","erdos_renyi","sites","sites_2","PLN","BIC","0.1","0.684703","0.534451578914705","0","0",NA,"0","2.69302678108215"
